cwe_id,name,type,score
405,Asymmetric Resource Consumption (Amplification),Class,0.7585991101798997
789,Memory Allocation with Excessive Size Value,Variant,0.7571328069313241
404,Improper Resource Shutdown or Release,Class,0.7552782483477111
1325,Improperly Controlled Sequential Memory Allocation,Base,0.751525879851405
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7482719172097115
664,Improper Control of a Resource Through its Lifetime,Pillar,0.7451889119640661
191,Integer Underflow (Wrap or Wraparound),Base,0.744298213761344
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7432645719745798
799,Improper Control of Interaction Frequency,Class,0.7400382445398528
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Class,0.7364596191347201
