cwe_id,name,type,score
1236,Improper Neutralization of Formula Elements in a CSV File,Base,0.808880584710815
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7588790642565454
943,Improper Neutralization of Special Elements in Data Query Logic,Class,0.734390302978349
138,Improper Neutralization of Special Elements,Class,0.7331736786828158
184,Incomplete List of Disallowed Inputs,Base,0.7313776089787724
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,0.7306152522658227
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,0.7298326389287991
116,Improper Encoding or Escaping of Output,Class,0.7176102393648972
1289,Improper Validation of Unsafe Equivalence in Input,Base,0.7098184534956367
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,0.7091071890477034
